salary_in_usd,work_models_On-site,work_models_Remote,comp_is_US,company_size_encoded,domain_expertise_Data Engineering,domain_expertise_Data Science,domain_expertise_Machine Learning / AI,domain_expertise_Other,exp_level
11.437,0,1,1,1,0,0,0,0,0
11.081,0,1,1,1,0,0,0,0,0
11.198,1,0,1,1,0,1,0,0,2
11.311,0,1,1,1,0,0,0,0,2
10.78,0,1,1,1,0,0,0,0,2
12.095,1,0,1,1,0,0,1,0,2
11.626,1,0,1,1,0,0,1,0,2
11.624,1,0,1,1,0,1,0,0,1
11.13,1,0,1,1,0,1,0,0,1
11.791,1,0,1,1,0,0,0,0,1
11.321,1,0,1,1,0,0,0,0,1
11.849,1,0,1,1,0,1,0,0,2
11.35,0,1,1,1,0,0,0,0,2
11.032,0,1,1,1,0,0,0,0,2
11.768,1,0,1,1,0,0,0,0,2
11.363,1,0,1,1,0,0,0,0,2
11.482,1,0,1,1,0,1,0,0,2
11.035,1,0,1,1,0,1,0,0,2
12.376,0,1,1,1,0,1,0,0,2
12.213,0,1,1,1,0,1,0,0,2
11.482,1,0,1,1,0,1,0,0,1
11.035,1,0,1,1,0,1,0,0,1
12.441,1,0,1,1,0,0,1,0,1
12.139,1,0,1,1,0,0,1,0,1
12.429,1,0,1,1,0,0,1,0,1
11.918,1,0,1,1,0,0,1,0,1
12.123,1,0,1,1,1,0,0,0,2
11.72,1,0,1,1,1,0,0,0,2
12.409,1,0,1,1,0,1,0,0,1
12.101,1,0,1,1,0,1,0,0,1
12.123,1,0,1,1,1,0,0,0,1
11.72,1,0,1,1,1,0,0,0,1
12.667,1,0,1,1,0,0,1,0,1
12.491,1,0,1,1,0,0,1,0,1
12.341,1,0,1,1,0,0,1,0,1
12.306,1,0,1,1,0,0,1,0,1
12.255,0,1,1,1,1,0,0,0,1
11.995,0,1,1,1,1,0,0,0,1
12.196,1,0,1,1,0,0,1,0,1
11.995,1,0,1,1,0,0,1,0,1
12.612,1,0,1,1,0,0,1,0,1
12.101,1,0,1,1,0,0,1,0,1
11.129,1,0,1,1,0,1,0,0,2
10.907,1,0,1,1,0,1,0,0,2
12.688,1,0,1,1,0,1,0,0,1
11.977,1,0,1,1,0,1,0,0,1
11.503,1,0,1,1,0,0,0,0,2
11.156,1,0,1,1,0,0,0,0,2
11.891,1,0,1,1,0,0,1,0,1
11.608,0,1,1,1,1,0,0,0,2
11.408,0,1,1,1,1,0,0,0,2
11.002,1,0,1,1,0,1,0,0,2
10.915,1,0,1,1,0,1,0,0,2
11.661,1,0,1,1,0,0,0,0,0
11.438,1,0,1,1,0,0,0,0,0
12.206,1,0,1,1,0,1,0,0,1
11.918,1,0,1,1,0,1,0,0,1
12.306,1,0,1,1,1,0,0,0,1
11.892,1,0,1,1,1,0,0,0,2
11.368,1,0,1,1,1,0,0,0,2
11.979,1,0,1,1,0,1,0,0,1
11.478,1,0,1,1,0,1,0,0,1
12.252,1,0,1,1,1,0,0,0,1
11.681,1,0,1,1,1,0,0,0,1
11.775,0,1,1,1,0,1,0,0,1
11.849,0,1,1,1,1,0,0,0,1
11.485,0,1,1,1,1,0,0,0,1
11.849,0,1,1,1,0,0,0,0,1
12.638,1,0,1,1,1,0,0,0,2
12.17,1,0,1,1,1,0,0,0,2
12.388,1,0,1,1,1,0,0,0,1
12.101,1,0,1,1,1,0,0,0,1
11.748,1,0,1,1,0,0,0,0,1
11.322,1,0,1,1,0,0,0,0,1
11.85,0,1,1,1,0,1,0,0,2
11.536,0,1,1,1,0,1,0,0,2
11.308,0,1,1,1,0,1,0,0,2
11.225,0,1,1,1,0,1,0,0,2
11.579,1,0,1,1,0,1,0,0,1
11.174,1,0,1,1,0,1,0,0,1
12.409,0,1,1,1,0,1,0,0,2
11.813,0,1,1,1,0,1,0,0,2
11.879,1,0,1,1,1,0,0,0,1
11.56,1,0,1,1,1,0,0,0,1
11.989,1,0,1,1,0,1,0,0,1
11.8,1,0,1,1,0,1,0,0,1
11.995,1,0,1,1,0,1,0,0,2
11.484,1,0,1,1,0,1,0,0,2
12.188,0,1,1,1,0,0,1,0,1
11.756,0,1,1,1,0,0,1,0,1
11.816,0,1,1,1,0,1,0,0,2
11.196,0,1,1,1,0,1,0,0,2
12.377,1,0,1,1,0,1,0,0,1
12.058,1,0,1,1,0,1,0,0,1
12.127,1,0,1,1,0,1,0,0,1
11.995,1,0,1,1,0,1,0,0,1
11.897,1,0,1,1,0,1,0,0,1
11.673,1,0,1,1,0,1,0,0,1
11.408,1,0,1,1,0,0,0,0,0
11.002,1,0,1,1,0,0,0,0,0
12.334,1,0,1,1,0,0,0,1,1
12.202,1,0,1,1,0,0,0,1,1
12.644,1,0,1,1,0,1,0,0,2
11.849,1,0,1,1,1,0,0,0,1
